time_s,kid_height_m,python_height_m,kid_T_K,python_T_K,delta_T_python_minus_kid_K,kid_qv,python_qv,delta_qv_python_minus_kid,kid_cloud,kid_rain,kid_total_condensed,python_qc,python_qc_over_kid_cloud,kid_total_water,python_total_water,total_water_difference,python_S_percent,kid_RH_percent
960.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0004890806740149856,0.00033873587381094694,0.0008278165478259325,0.0004396861199798007,0.899005303910922,0.014599832938984036,0.014959459193051593,0.00035962625406755697,3.9323725813127077e-13,99.98239135742188
990.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00045807333663105965,0.00031506235245615244,0.0007731356890872121,0.00043968611997990476,0.9598596661696459,0.014545152080245316,0.014959459193051697,0.00041430711280638147,3.9323725813127077e-13,99.98239135742188
1020.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0004310682707000524,0.00029259826987981796,0.0007236665405798703,0.00043968611998000884,1.0199918432084114,0.014495682931737974,0.014959459193051802,0.0004637762613138273,3.9323725813127077e-13,99.98239135742188
1050.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00040750394691713154,0.0002717583847697824,0.000679262331686914,0.0004396861199801129,1.0789738929069215,0.014451278722845018,0.014959459193051906,0.0005081804702068878,3.9323725813127077e-13,99.98239135742188
1080.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00038679715362377465,0.00025271420599892735,0.000639511359622702,0.000439686119980217,1.1367356658676082,0.014411527750780806,0.01495945919305201,0.0005479314422712038,3.9323725813127077e-13,99.98239135742188
1110.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0003684682596940547,0.00023545608564745635,0.0006039243453415111,0.0004396861199803211,1.1932808550332117,0.014375940736499615,0.014959459193052114,0.0005835184565524988,3.9323725813127077e-13,99.98239135742188
1140.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00035226024920120835,0.00021985472994856536,0.0005721149791497737,0.0004396861199804252,1.2481854565692987,0.014344131370307878,0.014959459193052218,0.0006153278227443403,3.9323725813127077e-13,99.98239135742188
1170.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0003377337125129998,0.00020579670672304928,0.0005435304192360491,0.00043968611998052926,1.3018721664145543,0.014315546810394153,0.014959459193052322,0.000643912382658169,3.9323725813127077e-13,99.98239135742188
1200.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0003246536653023213,0.0001931277511175722,0.0005177814164198935,0.00043968611998063334,1.354323597644254,0.014289797807577997,0.014959459193052426,0.0006696613854744286,3.9323725813127077e-13,99.98239135742188
1230.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0003128924290649593,0.00018167830421589315,0.0004945707332808524,0.0004396861199807374,1.4052309328630468,0.014266587124438956,0.01495945919305253,0.0006928720686135738,3.9323725813127077e-13,99.98239135742188
1260.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0003022184537257999,0.0001713276724331081,0.000473546126158908,0.0004396861199808415,1.4548619204430342,0.014245562517317012,0.014959459193052634,0.0007138966757356223,3.9323725813127077e-13,99.98239135742188
1290.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0002924685541074723,0.00016194986528716981,0.0004544184193946421,0.0004396861199809456,1.5033620326217219,0.014226434810552746,0.014959459193052738,0.0007330243824999923,3.9323725813127077e-13,99.98239135742188
1320.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00028352299705147743,0.0001534281618660316,0.000436951158917509,0.0004396861199810497,1.5507952601856092,0.014208967550075613,0.014959459193052842,0.0007504916429772295,3.9323725813127077e-13,99.98239135742188
1350.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00027530931401997805,0.00014564389130100608,0.0004209532053209841,0.00043968611998115376,1.5970622771928724,0.014192969596479088,0.014959459193052946,0.0007664895965738584,3.9323725813127077e-13,99.98239135742188
1380.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0002677777665667236,0.00013853299606125802,0.0004063107626279816,0.00043968611998125784,1.6419814296707078,0.014178327153786086,0.01495945919305305,0.000781132039266965,3.9323725813127077e-13,99.98239135742188
1410.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0002607981441542506,0.00013198790838941932,0.00039278605254366994,0.00043968611998136193,1.6859250337353127,0.014164802443701774,0.014959459193053155,0.0007946567493513808,3.9323725813127077e-13,99.98239135742188
1440.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00025430493406020105,0.0001259700075024739,0.00038027494156267494,0.000439686119981466,1.7289720374728557,0.014152291332720779,0.014959459193053259,0.0008071678603324799,3.9323725813127077e-13,99.98239135742188
1470.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0002482481941115111,0.00012040580622851849,0.0003686540003400296,0.0004396861199815701,1.771155361493049,0.014140670391498134,0.014959459193053363,0.0008187888015552293,3.9323725813127077e-13,99.98239135742188
1500.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00024258444318547845,0.00011524809087859467,0.0003578325340640731,0.0004396861199816742,1.8125074889715542,0.014129848925222177,0.014959459193053467,0.0008296102678312899,3.9323725813127077e-13,99.98239135742188
1530.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0002372926683165133,0.00011044984421459958,0.0003477425125311129,0.00043968611998177826,1.8529275392331215,0.014119758903689217,0.014959459193053571,0.0008397002893643542,3.9323725813127077e-13,99.98239135742188
1560.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0002323789958609268,0.00010598059452604502,0.00033835959038697183,0.00043968611998188234,1.8921078402672151,0.014110375981545076,0.014959459193053675,0.0008490832115085993,3.9323725813127077e-13,99.98239135742188
1590.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00022775266552343965,0.00010182313417317346,0.0003295757996966131,0.00043968611998198643,1.9305421474276234,0.014101592190854717,0.01495945919305378,0.0008578670021990621,3.9323725813127077e-13,99.98239135742188
1620.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00022338890994433314,9.793160279514268e-05,0.0003213205127394758,0.0004396861199820905,1.9682540198242475,0.01409333690389758,0.014959459193053883,0.0008661222891563035,3.9323725813127077e-13,99.98239135742188
1650.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00021926499903202057,9.430755744688213e-05,0.0003135725564789027,0.0004396861199821946,2.005272715313695,0.014085588947637007,0.014959459193053987,0.0008738702454169807,3.9323725813127077e-13,99.98239135742188
1680.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0002153626992367208,9.090347157325596e-05,0.00030626617080997676,0.0004396861199822987,2.0416075835816287,0.01407828256196808,0.014959459193054091,0.0008811766310860107,3.9323725813127077e-13,99.98239135742188
1710.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00021166593069210649,8.771050488576293e-05,0.0002993764355778694,0.00043968611998240276,2.077264482501811,0.014071392826735973,0.014959459193054195,0.0008880663663182221,3.9323725813127077e-13,99.98239135742188
1740.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00020815510652028024,8.470253669656813e-05,0.0002928576432168484,0.00043968611998250684,2.11230042506629,0.014064874034374952,0.0149594591930543,0.0008945851586793473,3.9323725813127077e-13,99.98239135742188
1770.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0002048161841230467,8.187329513020813e-05,0.00028668947925325483,0.00043968611998261093,2.1467352390398124,0.014058705870411359,0.014959459193054404,0.0009007533226430449,3.9323725813127077e-13,99.98239135742188
1800.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00020164962916169316,7.919703057268634e-05,0.0002808466597343795,0.000439686119982715,2.180445963677681,0.014052863050892483,0.014959459193054508,0.0009065961421620243,3.9323725813127077e-13,99.98239135742188
1830.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00019866586080752313,7.667065801797435e-05,0.0002753365188254975,0.0004396861199828191,2.2131941451622015,0.014047352909983601,0.014959459193054612,0.0009121062830710104,3.9323725813127077e-13,99.98239135742188
1860.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00019581626111175865,7.429129618685693e-05,0.0002701075572986156,0.0004396861199829232,2.245401467102776,0.01404212394845672,0.014959459193054716,0.0009173352445979964,3.9323725813127077e-13,99.98239135742188
1890.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.000193091545952484,7.202233246061951e-05,0.0002651138784131035,0.00043968611998302726,2.277086331326102,0.014037130269571207,0.01495945919305482,0.0009223289234836125,3.9323725813127077e-13,99.98239135742188
1920.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00019048804824706167,6.985955405980349e-05,0.00026034760230686516,0.00043968611998313135,2.3082084363259447,0.014032363993464969,0.014959459193054924,0.000927095199589955,3.9323725813127077e-13,99.98239135742188
1950.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00018799425743054599,6.78215510561131e-05,0.0002558158084866591,0.00043968611998323543,2.338827398202184,0.014027832199644763,0.014959459193055028,0.0009316269934102651,3.9323725813127077e-13,99.98239135742188
1980.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00018560216994956136,6.589201802853495e-05,0.0002514941879780963,0.0004396861199833395,2.368970794376096,0.0140235105791362,0.014959459193055132,0.000935948613918932,3.9323725813127077e-13,99.98239135742188
2010.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00018330544116906822,6.4050720538944e-05,0.0002473561617080122,0.0004396861199834436,2.3986528560159197,0.014019372552866116,0.014959459193055236,0.0009400866401891202,3.9323725813127077e-13,99.98239135742188
2040.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00018109830853063613,6.229621067177504e-05,0.00024339451920241117,0.0004396861199835477,2.427886398006675,0.014015410910360515,0.01495945919305534,0.0009440482826948253,3.9323725813127077e-13,99.98239135742188
2070.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00017897537327371538,6.0623802710324526e-05,0.0002395991759840399,0.00043968611998365176,2.4566850284548325,0.014011615567142144,0.014959459193055444,0.0009478436259133007,3.9323725813127077e-13,99.98239135742188
2100.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00017693180416245013,5.9021724155172706e-05,0.00023595352831762284,0.00043968611998375585,2.4850598345793022,0.014007969919475727,0.014959459193055549,0.0009514892735798218,3.9323725813127077e-13,99.98239135742188
2130.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00017496310465503484,5.7495562941767275e-05,0.00023245866759680212,0.00043968611998385993,2.513021935971958,0.014004475058754906,0.014959459193055653,0.0009549841343007466,3.9323725813127077e-13,99.98239135742188
2160.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.00017306480731349438,5.604100806522183e-05,0.00022910581537871622,0.000439686119983964,2.5405865398590506,0.01400112220653682,0.014959459193055757,0.0009583369865189366,3.9323725813127077e-13,99.98239135742188
2190.0,800.0,788.9437813826415,290.4424743652344,291.2955968342383,0.8531224690039494,0.013772016391158104,0.014519773073071793,0.0007477566819136892,0.0001712329249130562,5.46564842807129e-05,0.0002258894091937691,0.0004396861199840681,2.5677662179006724,0.013997905800351873,0.01495945919305586,0.0009615533927039878,3.9323725813127077e-13,99.98239135742188
