time_s,parcel_height_m,kid_nearest_height_m,height_difference_m,w_m_s,temperature_K,pressure_mb,qv_kg_kg,RH_percent,cloud_mass_kg_kg,rain_mass_kg_kg
780.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0007902354700490832,0.0003921364259440452
810.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0007264697924256325,0.0004110303707420826
840.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0006669950089417398,0.00041342800250276923
870.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.000613366428297013,0.00040324675501324236
900.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0005661081522703171,0.00038500205846503377
930.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0005248684901744127,0.00036260890192352235
960.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0004890806740149856,0.00033873587381094694
990.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00045807333663105965,0.00031506235245615244
1020.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0004310682707000524,0.00029259826987981796
1050.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00040750394691713154,0.0002717583847697824
1080.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00038679715362377465,0.00025271420599892735
1110.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0003684682596940547,0.00023545608564745635
1140.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00035226024920120835,0.00021985472994856536
1170.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0003377337125129998,0.00020579670672304928
1200.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0003246536653023213,0.0001931277511175722
1230.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0003128924290649593,0.00018167830421589315
1260.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0003022184537257999,0.0001713276724331081
1290.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0002924685541074723,0.00016194986528716981
1320.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00028352299705147743,0.0001534281618660316
1350.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00027530931401997805,0.00014564389130100608
1380.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0002677777665667236,0.00013853299606125802
1410.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0002607981441542506,0.00013198790838941932
1440.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00025430493406020105,0.0001259700075024739
1470.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0002482481941115111,0.00012040580622851849
1500.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00024258444318547845,0.00011524809087859467
1530.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0002372926683165133,0.00011044984421459958
1560.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0002323789958609268,0.00010598059452604502
1590.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00022775266552343965,0.00010182313417317346
1620.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00022338890994433314,9.793160279514268e-05
1650.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00021926499903202057,9.430755744688213e-05
1680.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0002153626992367208,9.090347157325596e-05
1710.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00021166593069210649,8.771050488576293e-05
1740.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00020815510652028024,8.470253669656813e-05
1770.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0002048161841230467,8.187329513020813e-05
1800.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00020164962916169316,7.919703057268634e-05
1830.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00019866586080752313,7.667065801797435e-05
1860.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00019581626111175865,7.429129618685693e-05
1890.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.000193091545952484,7.202233246061951e-05
1920.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00019048804824706167,6.985955405980349e-05
1950.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00018799425743054599,6.78215510561131e-05
1980.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00018560216994956136,6.589201802853495e-05
2010.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00018330544116906822,6.4050720538944e-05
2040.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00018109830853063613,6.229621067177504e-05
2070.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00017897537327371538,6.0623802710324526e-05
2100.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00017693180416245013,5.9021724155172706e-05
2130.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00017496310465503484,5.7495562941767275e-05
2160.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00017306480731349438,5.604100806522183e-05
2190.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0001712329249130562,5.46564842807129e-05
2220.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00016948577831499279,5.3326548368204385e-05
2250.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00016781232261564583,5.20658832101617e-05
2280.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00016619307280052453,5.08635348523967e-05
2310.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00016462532221339643,4.970314330421388e-05
2340.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00016310677165165544,4.8575540859019384e-05
2370.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0001616354420548305,4.7480974899372086e-05
2400.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.0001602089760126546,4.6440978621831164e-05
2430.0,788.9437268410976,800.0,11.0562731589024,0.0,290.4424743652344,911.2942504882812,0.013772016391158104,99.98239135742188,0.00015882485604379326,4.545098272501491e-05
